airport_code_std,airport_name_std,year,enplanements,covid_period,is_missing_imputed,data_flag
LSE,La Crosse Regional,2023,43681.0,0,0,ok
LUP,Kalaupapa,2023,3085.0,0,0,ok
LWB,Greenbrier Valley,2023,8328.0,0,0,ok
LWS,Lewiston-Nez Perce County,2023,36761.0,0,0,ok
LYH,Lynchburg Regional/Preston Glenn Field,2023,74730.0,0,0,ok
MAF,Midland International,2023,684419.0,0,0,ok
MAZ,Eugenio Maria De Hostos,2023,8224.0,0,0,ok
MBL,Manistee County-Blacker,2023,6039.0,0,0,ok
MBS,MBS International,2023,93545.0,0,0,ok
MCE,Merced Regional/Macready Field,2023,3798.0,0,0,ok
MCG,McGrath,2023,2575.0,0,0,ok
MCI,Kansas City International,2023,5654068.0,0,0,ok
MCN,Middle Georgia Regional,2023,15832.0,0,0,ok
MCO,Orlando International,2023,28033205.0,0,0,ok
MCW,Mason City Municipal,2023,5780.0,0,0,ok
MDM,Marshall Don Hunter Sr,2023,2514.0,0,0,ok
MDT,Harrisburg International,2023,654791.0,0,0,ok
MDW,Chicago Midway International,2023,10659520.0,0,0,ok
MEI,Key Field,2023,15513.0,0,0,ok
MEM,Memphis International,2023,2399876.0,0,0,ok
MFE,McAllen Miller International,2023,513770.0,0,0,ok
MFR,Rogue Valley International - Medford,2023,478121.0,0,0,ok
MGM,Montgomery Regional (Dannelly Field),2023,181927.0,0,0,ok
MGW,Morgantown Municipal-Walter L. Bill Hart Field,2023,6842.0,0,0,ok
MHK,Manhattan Regional,2023,51412.0,0,0,ok
MHT,Manchester,2023,645158.0,0,0,ok
MIA,Miami International,2023,24717048.0,0,0,ok
MKE,General Mitchell International,2023,2959840.0,0,0,ok
MKG,Muskegon County,2023,4521.0,0,0,ok
MKK,Molokai,2023,85341.0,0,0,ok
MKL,McKellar-Sipes Regional,2023,3264.0,0,0,ok
MLB,Melbourne International,2023,363844.0,0,0,ok
MLI,Quad City International,2023,272481.0,0,0,ok
MLU,Monroe Regional,2023,96964.0,0,0,ok
MMH,Mammoth Yosemite,2023,3966.0,0,0,ok
MOB,Mobile Regional,2023,275342.0,0,0,ok
MOT,Minot International,2023,146874.0,0,0,ok
MOU,Mountain Village,2023,3048.0,0,0,ok
MRI,Merrill Field,2023,30269.0,0,0,ok
MRY,Monterey Regional,2023,259778.0,0,0,ok
MSL,Northwest Alabama Regional,2023,5907.0,0,0,ok
MSN,Dane County Regional-Truax Field,2023,1037983.0,0,0,ok
MSO,Missoula International,2023,458429.0,0,0,ok
MSP,Minneapolis-St Paul International/Wold-Chamberlain,2023,17019128.0,0,0,ok
MSS,Massena International-Richards Field,2023,4958.0,0,0,ok
MSY,Louis Armstrong New Orleans International,2023,6309212.0,0,0,ok
MTJ,Montrose Regional,2023,244266.0,0,0,ok
MUE,Waimea-Kohala,2023,3598.0,0,0,ok
MVY,Martha's Vineyard,2023,83621.0,0,0,ok
MWA,Williamson County Regional,2023,10558.0,0,0,ok
MYR,Myrtle Beach International,2023,1658984.0,0,0,ok
NYL,Yuma MCAS/Yuma International,2023,94364.0,0,0,ok
OAJ,Albert J Ellis,2023,133839.0,0,0,ok
OAK,Metropolitan Oakland International,2023,5520812.0,0,0,ok
OGG,Kahului,2023,3745866.0,0,0,ok
OGS,Ogdensburg International,2023,5801.0,0,0,ok
OKC,Will Rogers World,2023,2135106.0,0,0,ok
OLF,L M Clayton,2023,3153.0,0,0,ok
OMA,Eppley Airfield,2023,2464418.0,0,0,ok
OME,Nome,2023,66883.0,0,0,ok
ONT,Ontario International,2023,3181161.0,0,0,ok
OOK,Toksook Bay,2023,3197.0,0,0,ok
ORD,Chicago O'Hare International,2023,35843104.0,0,0,ok
ORF,Norfolk International,2023,2307899.0,0,0,ok
ORH,Worcester Regional,2023,104747.0,0,0,ok
ORS,Orcas Island,2023,8089.0,0,0,ok
OTH,Southwest Oregon Regional,2023,19590.0,0,0,ok
OTZ,Ralph Wien Memorial,2023,60124.0,0,0,ok
OWB,Owensboro-Daviess County,2023,10822.0,0,0,ok
PAE,Snohomish County (Paine Field),2023,306499.0,0,0,ok
PAH,Barkley Regional,2023,13057.0,0,0,ok
PBG,Plattsburgh International,2023,72150.0,0,0,ok
PBI,Palm Beach International,2023,3815977.0,0,0,ok
PDT,Eastern Oregon Regional at Pendleton,2023,5544.0,0,0,ok
PDX,Portland International,2023,8123054.0,0,0,ok
PGA,Page Municipal,2023,15974.0,0,0,ok
PGD,Punta Gorda,2023,949732.0,0,0,ok
PGV,Pitt-Greenville,2023,34824.0,0,0,ok
PHF,Newport News/Williamsburg International,2023,69541.0,0,0,ok
PHL,Philadelphia International,2023,13658669.0,0,0,ok
PHO,Point Hope,2023,4052.0,0,0,ok
PHX,Phoenix Sky Harbor International,2023,23880504.0,0,0,ok
PIA,General Downing - Peoria International,2023,315482.0,0,0,ok
PIB,Hattiesburg-Laurel Regional,2023,13002.0,0,0,ok
PIE,St Pete-Clearwater International,2023,1246323.0,0,0,ok
PIH,Pocatello Regional,2023,17504.0,0,0,ok
PIR,Pierre Regional,2023,15885.0,0,0,ok
PIT,Pittsburgh International,2023,4493052.0,0,0,ok
PKB,Mid-Ohio Valley Regional,2023,4391.0,0,0,ok
PLN,Pellston Regional Airport of Emmet County,2023,22264.0,0,0,ok
PNS,Pensacola International,2023,1365976.0,0,0,ok
PPG,Pago Pago International,2023,43467.0,0,0,ok
PQI,Northern Maine Regional Airport at Presque Isle,2023,19269.0,0,0,ok
PRC,Ernest A. Love Field,2023,24583.0,0,0,ok
PSC,Tri-Cities,2023,438076.0,0,0,ok
PSE,Mercedita,2023,142076.0,0,0,ok
PSG,Petersburg James A Johnson,2023,24921.0,0,0,ok
PSM,Portsmouth International at Pease,2023,57448.0,0,0,ok
PSP,Palm Springs International,2023,1625327.0,0,0,ok
PUB,Pueblo Memorial,2023,3359.0,0,0,ok
PUW,Pullman/Moscow Regional,2023,63835.0,0,0,ok
PVC,Provincetown Municipal,2023,7746.0,0,0,ok
PVD,Theodore Francis Green State,2023,1732909.0,0,0,ok
PVU,Provo Municipal,2023,415197.0,0,0,ok
PWM,Portland International Jetport,2023,1114714.0,0,0,ok
RAP,Rapid City Regional,2023,345532.0,0,0,ok
RDD,Redding Municipal,2023,87670.0,0,0,ok
RDM,Roberts Field,2023,558804.0,0,0,ok
RDU,Raleigh-Durham International,2023,7119040.0,0,0,ok
RFD,Chicago/Rockford International,2023,120494.0,0,0,ok
RHI,Rhinelander-Oneida County,2023,20991.0,0,0,ok
RIC,Richmond International,2023,2399239.0,0,0,ok
RIW,Riverton Regional,2023,15350.0,0,0,ok
RKD,Knox County Regional,2023,7047.0,0,0,ok
RKS,Rock Springs-Sweetwater County,2023,16158.0,0,0,ok
RNO,Reno/Tahoe International,2023,2251825.0,0,0,ok
ROA,Roanoke Regional/Woodrum Field,2023,345561.0,0,0,ok
ROC,Greater Rochester International,2023,1325357.0,0,0,ok
